Star birthyear not int: StageName:The Andrews Sisters, Birthyear: null.
Star already exists: StageName:Diahnne Abbott, Birthyear: null.
Star already exists: StageName:Victoria Abril, Birthyear: null.
Star already exists: StageName:Brooke Adams, Birthyear:1949.
Star already exists: StageName:Mario Adorf, Birthyear:1930.
Star already exists: StageName:Ben Affleck, Birthyear: null.
Star already exists: StageName:Casey Affleck, Birthyear: null.
Star already exists: StageName:Rati Agnihotri, Birthyear:1960.
Star already exists: StageName:Anouk Aimee, Birthyear:1932.
Star already exists: StageName:Edward Albert, Birthyear:1951.
Star already exists: StageName:Alan Alda, Birthyear:1936.
Star already exists: StageName:Rutanya Alda, Birthyear: null.
Star already exists: StageName:John Alderton, Birthyear:1940.
Star already exists: StageName:John Alexander, Birthyear:1901.
Star already exists: StageName:Woody Allen, Birthyear:1935.
Star already exists: StageName:Kirstie Alley, Birthyear: null.
Star already exists: StageName:Maria Conchita Alonso, Birthyear: null.
Star already exists: StageName:Dev Anand, Birthyear: null.
Star already exists: StageName:Richard Anderson, Birthyear:1926.
Star already exists: StageName:Ursula Andress, Birthyear:1936.
Star already exists: StageName:Julie Andrews, Birthyear:1934.
Star already exists: StageName:Maya Angelou, Birthyear:1929.
Star already exists: StageName:Lysette Anthony, Birthyear: null.
Star already exists: StageName:Alfonso Arau, Birthyear: null.
Star already exists: StageName:Allan Arbus, Birthyear: null.
Star already exists: StageName:Anne Archer, Birthyear: null.
Star already exists: StageName:Fanny Ardant, Birthyear:1949.
Star already exists: StageName:Alan Arkin, Birthyear:1934.
Star already exists: StageName:Curtis Armstrong, Birthyear: null.
Star already exists: StageName:R.G. Armstrong, Birthyear:1920.
Star already exists: StageName:Lucie Arnaz, Birthyear:1951.
Star already exists: StageName:Rosanna Arquette, Birthyear: null.
Star already exists: StageName:Elizabeth Ashley, Birthyear:1939.
Star already exists: StageName:Armand Assante, Birthyear: null.
Star already exists: StageName:Fred Astaire, Birthyear:1899.
Star already exists: StageName:William Atherton, Birthyear:1947.
Star already exists: StageName:Christopher Atkins, Birthyear:1961.
Star already exists: StageName:Richard Attenborough, Birthyear:1923.
Star already exists: StageName:Daniel Auteuil, Birthyear: null.
Star already exists: StageName:Dan Aykroyd, Birthyear: null.
Star already exists: StageName:Shabana Azmi, Birthyear: null.
Star already exists: StageName:Charles Aznavour, Birthyear:1924.
Star already exists: StageName:Hank Azaria, Birthyear:1964.
Star already exists: StageName:Amitabh Bachchan, Birthyear:1942.
Star already exists: StageName:Kevin Bacon, Birthyear: null.
Star already exists: StageName:Barbara Bain, Birthyear:1932.
Star already exists: StageName:Scott Baio, Birthyear:1961.
Star already exists: StageName:Josephine Baker, Birthyear:1906.
Star already exists: StageName:Bob Balaban, Birthyear:1965.
Star already exists: StageName:Jill Balcon, Birthyear:1925.
Star already exists: StageName:Adam Baldwin, Birthyear: null.
Star already exists: StageName:Daniel Baldwin, Birthyear: null.
Star already exists: StageName:William Baldwin, Birthyear:1963.
Star already exists: StageName:Anne Bancroft, Birthyear:1931.
Star already exists: StageName:Antonio Banderas, Birthyear:1960.
Star already exists: StageName:Victor Banerjee, Birthyear: null.
Star already exists: StageName:Adrienne Barbeau, Birthyear:1949.
Star already exists: StageName:Ellen Barkin, Birthyear:1954.
Star already exists: StageName:Priscilla Barnes, Birthyear: null.
Star already exists: StageName:Maria Barranco, Birthyear: null.
Star already exists: StageName:Drew Barrymore, Birthyear:1976.
Star already exists: StageName:Kim Basinger, Birthyear:1953.
Star already exists: StageName:Angela Bassett, Birthyear:1958.
Star already exists: StageName:Kathy Bates, Birthyear:1958.
Star already exists: StageName:Steven Bauer, Birthyear: null.
Star already exists: StageName:Alan Baxter, Birthyear:1908.
Star already exists: StageName:Nathalie Baye, Birthyear: null.
Star already exists: StageName:Stephanie Beacham, Birthyear:1949.
Star already exists: StageName:John Beal, Birthyear:1909.
Star already exists: StageName:Jennifer Beals, Birthyear: null.
Star already exists: StageName:Ned Beatty, Birthyear:1937.
Star already exists: StageName:Warren Beatty, Birthyear:1937.
Star already exists: StageName:John Beck, Birthyear:1943.
Star already exists: StageName:Bonnie Bedelia, Birthyear:1946.
Star already exists: StageName:Kabir Bedi, Birthyear:1935.
Star already exists: StageName:Harry Belafonte, Birthyear:1927.
Star already exists: StageName:Tom Bell, Birthyear:1933.
Star already exists: StageName:Jim Belushi, Birthyear: null.
Star already exists: StageName:Dirk Benedict, Birthyear:1945.
Star already exists: StageName:Annette Bening, Birthyear: null.
Star already exists: StageName:Hywel Bennett, Birthyear:1944.
Star already exists: StageName:Jill Bennett, Birthyear:1944.
Star already exists: StageName:Richard Bennett, Birthyear:1873.
Star already exists: StageName:Tom Berenger, Birthyear:1950.
Star already exists: StageName:Candice Bergen, Birthyear:1946.
Star already exists: StageName:Steven Berkoff, Birthyear: null.
Star already exists: StageName:Sandra Bernhard, Birthyear: null.
Star already exists: StageName:Michael Biehn, Birthyear: null.
Star already exists: StageName:Karen Black, Birthyear:1942.
Star already exists: StageName:Ruben Blades, Birthyear:1948.
Star already exists: StageName:Susan Blakely, Birthyear:1950.
Star already exists: StageName:Michel Blanc, Birthyear: null.
Star already exists: StageName:Richard Bohringer, Birthyear: null.
Star already exists: StageName:Joseph Bologna, Birthyear:1938.
Star already exists: StageName:Pat Boone, Birthyear:1934.
Star already exists: StageName:John Boorman, Birthyear:1933.
Star already exists: StageName:Powers Boothe, Birthyear: null.
Star already exists: StageName:Ernest Borgnine, Birthyear:1915.
Star already exists: StageName:Tom Bosley, Birthyear:1927.
Star already exists: StageName:Sam Bottoms, Birthyear:1960.
Star already exists: StageName:Timothy Bottoms, Birthyear:1949.
Star already exists: StageName:Carole Bouquet, Birthyear: null.
Star already exists: StageName:Michel Bouquet, Birthyear:1926.
Star already exists: StageName:David Bowie, Birthyear:1947.
Star already exists: StageName:Bruce Boxleitner, Birthyear:1950.
Star already exists: StageName:William Boyd, Birthyear:1895.
Star already exists: StageName:Marcel Bozzuffi, Birthyear:1929.
Star already exists: StageName:Terry Bradshaw, Birthyear: null.
Star already exists: StageName:Sonia Braga, Birthyear: null.
Star already exists: StageName:Kenneth Branagh, Birthyear:1960.
Star already exists: StageName:Wilford Brimley, Birthyear: null.
Star already exists: StageName:Kenneth Branagh, Birthyear: null.
Star already exists: StageName:Klaus Maria Brandauer, Birthyear:1944.
Star already exists: StageName:Marlon Brando, Birthyear:1924.
Star already exists: StageName:Michael Brandon, Birthyear: null.
Star already exists: StageName:Betsy Brantley, Birthyear: null.
Star already exists: StageName:Claude Brasseur, Birthyear:1936.
Star already exists: StageName:Beau Bridges, Birthyear:1941.
Star already exists: StageName:Jeff Bridges, Birthyear:1949.
Star already exists: StageName:Wilford Brimley, Birthyear: null.
Star already exists: StageName:Gary Brockette, Birthyear: null.
Star already exists: StageName:Matthew Broderick, Birthyear:1951.
Star already exists: StageName:James Brolin, Birthyear:1940.
Star already exists: StageName:Eleanor Bron, Birthyear:1934.
Star already exists: StageName:Albert Brooks, Birthyear:1947.
Star already exists: StageName:James L. Brooks, Birthyear: null.
Star already exists: StageName:Mel Brooks, Birthyear:1926.
Star already exists: StageName:Pierce Brosnan, Birthyear:1952.
Star already exists: StageName:Gary Brown, Birthyear: null.
Star already exists: StageName:James Brown, Birthyear:1920.
Star already exists: StageName:Jim Brown, Birthyear:1936.
Star already exists: StageName:Peter Brown, Birthyear: null.
Star already exists: StageName:Roscoe Lee Browne, Birthyear:1925.
Star already exists: StageName:Sandra Bullock, Birthyear:1967.
Star already exists: StageName:Dennis Burkley, Birthyear: null.
Star already exists: StageName:Carol Burnett, Birthyear:1933.
Star already exists: StageName:Ellen Burstyn, Birthyear:1932.
Star already exists: StageName:Steve Buscemi, Birthyear:1958.
Star already exists: StageName:Gary Busey, Birthyear:1944.
Star already exists: StageName:Robert Butler, Birthyear: null.
Star already exists: StageName:William Butler, Birthyear: null.
Star already exists: StageName:Yancy Butler, Birthyear: null.
Star already exists: StageName:Ruth Buzzi, Birthyear: null.
Star already exists: StageName:John Byner, Birthyear: null.
Star already exists: StageName:James Caan, Birthyear:1938.
Star already exists: StageName:Nicolas Cage, Birthyear:1964.
Star already exists: StageName:Michael Caine, Birthyear:1933.
Star already exists: StageName:George Carlin, Birthyear: null.
Star already exists: StageName:David Carradine, Birthyear:1940.
Star already exists: StageName:Keith Carradine, Birthyear:1945.
Star already exists: StageName:Jim Carrey, Birthyear: null.
Star already exists: StageName:Helena Bonham Carter, Birthyear:1966.
Star already exists: StageName:Jim Carter, Birthyear: null.
Star already exists: StageName:Veronica Cartwright, Birthyear:1949.
Star already exists: StageName:Johnny Cash, Birthyear:1932.
Star already exists: StageName:Seymour Cassel, Birthyear:1935.
Star already exists: StageName:Joanna Cassidy, Birthyear:1944.
Star already exists: StageName:Phoebe Cates, Birthyear:1963.
Star already exists: StageName:Adolfo Celi, Birthyear:1922.
Star already exists: StageName:Richard Chamberlain, Birthyear:1935.
Star already exists: StageName:Marilyn Chambers, Birthyear: null.
Star already exists: StageName:Jackie Chan, Birthyear: null.
Star already exists: StageName:Stockard Channing, Birthyear:1944.
Star already exists: StageName:Geraldine Chaplin, Birthyear:1944.
Star already exists: StageName:Sydney Chaplin, Birthyear:1926.
Star already exists: StageName:Chevy Chase, Birthyear:1949.
Star already exists: StageName:Joan Chen, Birthyear: null.
Star already exists: StageName:Cher, Birthyear:1946.
Star already exists: StageName:Patrice Chereau, Birthyear: null.
Star already exists: StageName:Leslie Cheung, Birthyear: null.
Star already exists: StageName:Shelby Chong, Birthyear: null.
Star already exists: StageName:Thomas Chong, Birthyear: null.
Star already exists: StageName:Sarita Choudhury, Birthyear: null.
Star already exists: StageName:Julie Christie, Birthyear:1940.
Star already exists: StageName:Eric Clapton, Birthyear: null.
Star already exists: StageName:John Cleese, Birthyear:1939.
Star already exists: StageName:Glenn Close, Birthyear:1947.
Star already exists: StageName:Jennifer Cluff, Birthyear: null.
Star already exists: StageName:James Coburn, Birthyear:1928.
Star already exists: StageName:Anjanette Comer, Birthyear:1942.
Star already exists: StageName:Jeff Conaway, Birthyear:1950.
Star already exists: StageName:Robert Conrad, Birthyear:1935.
Star already exists: StageName:Frank Conroy, Birthyear:1890.
Star already exists: StageName:Tom Conti, Birthyear:1945.
Star already exists: StageName:Ron Cook, Birthyear: null.
Star already exists: StageName:Gary Cooper, Birthyear:1901.
Star already exists: StageName:Francis Ford Coppola, Birthyear:1939.
Star already exists: StageName:Sofia Coppola, Birthyear: null.
Star already exists: StageName:Barry Corbin, Birthyear: null.
Star already exists: StageName:Roger Corman, Birthyear:1926.
Star already exists: StageName:Kevin Costner, Birthyear:1955.
Star already exists: StageName:Clotilde Courau, Birthyear:1969.
Star already exists: StageName:Tom Courtenay, Birthyear:1937.
Star already exists: StageName:Ronny Cox, Birthyear:1938.
Star already exists: StageName:Peter Coyote, Birthyear: null.
Star already exists: StageName:John Crawford, Birthyear: null.
Star already exists: StageName:Michael Crichton, Birthyear: null.
Star already exists: StageName:Lindsay Crouse, Birthyear: null.
Star already exists: StageName:Tom Cruise, Birthyear:1961.
Star already exists: StageName:Billy Crystal, Birthyear:1948.
Star already exists: StageName:Kieran Culkin, Birthyear:1982.
Star already exists: StageName:John Cullum, Birthyear: null.
Star already exists: StageName:Robert Culp, Birthyear:1930.
Star already exists: StageName:Lee Curreri, Birthyear: null.
Star already exists: StageName:Tim Curry, Birthyear:1946.
Star already exists: StageName:Jane Curtin, Birthyear: null.
Star already exists: StageName:Jamie Lee Curtis, Birthyear:1958.
Star already exists: StageName:Maryam DAbo, Birthyear: null.
Star already exists: StageName:Willem Dafoe, Birthyear: null.
Star already exists: StageName:Elizabeth Daily, Birthyear: null.
Star already exists: StageName:Beatrice Dalle, Birthyear: null.
Star already exists: StageName:Timothy Dalton, Birthyear:1944.
Star already exists: StageName:Roger Daltrey, Birthyear:1944.
Star already exists: StageName:Mark Damon, Birthyear: null.
Star already exists: StageName:Charles Dance, Birthyear: null.
Star already exists: StageName:Rodney Dangerfield, Birthyear: null.
Star already exists: StageName:Jeff Daniels, Birthyear: null.
Star already exists: StageName:William Daniels, Birthyear:1927.
Star already exists: StageName:Blythe Danner, Birthyear:1945.
Star already exists: StageName:Tony Danza, Birthyear: null.
Star already exists: StageName:Kim Darby, Birthyear:1947.
Star already exists: StageName:James Darren, Birthyear:1936.
Star already exists: StageName:Danielle Darrieux, Birthyear:1917.
Star already exists: StageName:Elyssa Davalos, Birthyear: null.
Star already exists: StageName:Brad Davis, Birthyear:1950.
Star already exists: StageName:Geena Davis, Birthyear: null.
Star already exists: StageName:Jim Davis, Birthyear:1915.
Star already exists: StageName:Judy Davis, Birthyear:1956.
Star already exists: StageName:Ossie Davis, Birthyear:1917.
Star already exists: StageName:Bruce Davison, Birthyear:1948.
Star already exists: StageName:Ruby Dee, Birthyear:1923.
Star already exists: StageName:Julie Delpy, Birthyear:1969.
Star already exists: StageName:Dom DeLuise, Birthyear:1933.
Star already exists: StageName:Judi Dench, Birthyear:1934.
Star already exists: StageName:Catherine Deneuve, Birthyear:1943.
Star already exists: StageName:Gerard Depardieu, Birthyear:1948.
Star already exists: StageName:Bo Derek, Birthyear:1957.
Star already exists: StageName:Bruce Dern, Birthyear:1936.
Star already exists: StageName:Laura Dern, Birthyear:1967.
Star already exists: StageName:Maruschka Detmers, Birthyear: null.
Star already exists: StageName:William Devane, Birthyear: null.
Star already exists: StageName:William Devane, Birthyear: null.
Star already exists: StageName:Danny deVito, Birthyear: null.
Star already exists: StageName:Cameron Diaz, Birthyear:1970.
Star already exists: StageName:Marlene Dietrich, Birthyear:1901.
Star already exists: StageName:Phyllis Diller, Birthyear:1917.
Star already exists: StageName:Matt Dillon, Birthyear:1964.
Star already exists: StageName:James Doohan, Birthyear: null.
Star already exists: StageName:Karin Dor, Birthyear: null.
Star already exists: StageName:Stephen Dorff, Birthyear: null.
Star already exists: StageName:Kirk Douglas, Birthyear:1916.
Star already exists: StageName:Michael Douglas, Birthyear:1945.
Star already exists: StageName:Brad Dourif, Birthyear:1950.
Star already exists: StageName:Minnie Driver, Birthyear:1971.
Star already exists: StageName:James Drury, Birthyear:1934.
Star already exists: StageName:Dennis Dugan, Birthyear:1948.
Star already exists: StageName:Olympia Dukakis, Birthyear: null.
Star already exists: StageName:Faye Dunaway, Birthyear:1941.
Star already exists: StageName:Robert Dunn, Birthyear: null.
Star already exists: StageName:Griffin Dunne, Birthyear:1955.
Star already exists: StageName:Charles Durning, Birthyear:1933.
Star already exists: StageName:Robert Duvall, Birthyear:1931.
Star already exists: StageName:George Eastman, Birthyear: null.
Star already exists: StageName:Clint Eastwood, Birthyear:1930.
Star already exists: StageName:Christine Ebersole, Birthyear: null.
Star already exists: StageName:Anthony Edwards, Birthyear: null.
Star already exists: StageName:Blake Edwards, Birthyear:1922.
Star already exists: StageName:Lisa Eichhorn, Birthyear:1952.
Star already exists: StageName:Hector Elizondo, Birthyear:1936.
Star already exists: StageName:Jane Elliott, Birthyear: null.
Star already exists: StageName:Sam Elliott, Birthyear:1944.
Star already exists: StageName:Michael Elphick, Birthyear:1946.
Star already exists: StageName:Robert Englund, Birthyear: null.
Star already exists: StageName:Emilio Estevez, Birthyear: null.
Star already exists: StageName:Francoise Fabian, Birthyear:1935.
Star already exists: StageName:Peter Falk, Birthyear:1927.
Star already exists: StageName:Mia Farrow, Birthyear:1945.
Star already exists: StageName:Tovah Feldshuh, Birthyear: null.
Star already exists: StageName:Sherilyn Fenn, Birthyear:1965.
Star already exists: StageName:J. Don Ferguson, Birthyear: null.
Star already exists: StageName:Sally Field, Birthyear:1946.
Star already exists: StageName:Frank Finlay, Birthyear:1926.
Star already exists: StageName:Albert Finney, Birthyear:1936.
Star already exists: StageName:Frances Fisher, Birthyear:1952.
Star already exists: StageName:Frances Fisher, Birthyear: null.
Star already exists: StageName:Louise Fletcher, Birthyear:1936.
Star already exists: StageName:Sean Flynn, Birthyear:1941.
Star already exists: StageName:Bridget Fonda, Birthyear:1964.
Star already exists: StageName:Peter Fonda, Birthyear:1939.
Star already exists: StageName:Harrison Ford, Birthyear:1917.
Star already exists: StageName:Robert Forster, Birthyear:1942.
Star already exists: StageName:Jodie Foster, Birthyear:1962.
Star already exists: StageName:John Foster, Birthyear: null.
Star already exists: StageName:James Fox, Birthyear:1939.
Star already exists: StageName:Michael J. Fox, Birthyear:1961.
Star already exists: StageName:Paul Freeman, Birthyear: null.
Star already exists: StageName:Morgan Freeman, Birthyear: null.
Star already exists: StageName:Bernard Fresson, Birthyear:1933.
Star already exists: StageName:Dominic Frontiere, Birthyear:1931.
Star already exists: StageName:Stephen Furst, Birthyear: null.
Star already exists: StageName:Max Gail, Birthyear: null.
Star already exists: StageName:Michael Gambon, Birthyear: null.
Star already exists: StageName:Bruno Ganz, Birthyear: null.
Star already exists: StageName:Greta Garbo, Birthyear:1905.
Star already exists: StageName:Andres Garcia, Birthyear: null.
Star already exists: StageName:Allen Garfield, Birthyear:1939.
Star already exists: StageName:Beverly Garland, Birthyear:1926.
Star already exists: StageName:James Garner, Birthyear:1928.
Star already exists: StageName:Ben Gazzara, Birthyear:1930.
Star already exists: StageName:Judy Geeson, Birthyear:1948.
Star already exists: StageName:Bill Gerber, Birthyear: null.
Star already exists: StageName:Richard Gere, Birthyear:1949.
Star already exists: StageName:Balthazar Getty, Birthyear:1975.
Star already exists: StageName:Giancarlo Giannini, Birthyear:1942.
Star already exists: StageName:Henry Gibson, Birthyear:1935.
Star already exists: StageName:Mel Gibson, Birthyear:1951.
Star already exists: StageName:John Gilbert, Birthyear:1895.
Star already exists: StageName:Terry Gilliam, Birthyear: null.
Star already exists: StageName:Annie Girardot, Birthyear:1931.
Star already exists: StageName:Paul Michael Glaser, Birthyear:1943.
Star already exists: StageName:Scott Glenn, Birthyear:1942.
Star already exists: StageName:Bruce Glover, Birthyear: null.
Star already exists: StageName:Crispin Glover, Birthyear: null.
Star already exists: StageName:Danny Glover, Birthyear:1947.
Star already exists: StageName:John Glover, Birthyear: null.
Star already exists: StageName:Carlin Glynn, Birthyear: null.
Star already exists: StageName:Whoopi Goldberg, Birthyear:1950.
Star already exists: StageName:Jeff Goldblum, Birthyear:1952.
Star already exists: StageName:Bobcat Goldthwait, Birthyear: null.
Star already exists: StageName:Colin Gordon, Birthyear:1911.
Star already exists: StageName:Keith Gordon, Birthyear: null.
Star already exists: StageName:Robert Gordon, Birthyear: null.
Star already exists: StageName:Elliott Gould, Birthyear:1938.
Star already exists: StageName:Harold Gould, Birthyear:1923.
Star already exists: StageName:Nickolas Grace, Birthyear: null.
Star already exists: StageName:Lee Grant, Birthyear: null.
Star already exists: StageName:Richard E. Grant, Birthyear: null.
Star already exists: StageName:Charles Gray, Birthyear:1928.
Star already exists: StageName:Erin Gray, Birthyear: null.
Star already exists: StageName:Juliette Greco, Birthyear:1927.
Star already exists: StageName:Danny Green, Birthyear:1903.
Star already exists: StageName:Seth Green, Birthyear: null.
Star already exists: StageName:Graham Greene, Birthyear:1904.
Star already exists: StageName:David Alan Grier, Birthyear: null.
Star already exists: StageName:Pam Grier, Birthyear:1949.
Star already exists: StageName:Melanie Griffith, Birthyear:1957.
Star already exists: StageName:Charles Grodin, Birthyear:1935.
Star already exists: StageName:Ruy Guerra, Birthyear: null.
Star already exists: StageName:Christopher Guest, Birthyear: null.
Star already exists: StageName:Paul Guilfoyle, Birthyear:1902.
Star already exists: StageName:Steve Guttenberg, Birthyear: null.
Star already exists: StageName:Gene Hackman, Birthyear:1930.
Star already exists: StageName:Merle Haggard, Birthyear: null.
Star already exists: StageName:Dan Haggerty, Birthyear: null.
Star already exists: StageName:Jonathan Hale, Birthyear:1892.
Star already exists: StageName:Jackie Earle Haley, Birthyear: null.
Star already exists: StageName:Jon Hall, Birthyear:1913.
Star already exists: StageName:Linda Hamilton, Birthyear: null.
Star already exists: StageName:Harry Hamlin, Birthyear:1951.
Star already exists: StageName:Tom Hanks, Birthyear:1956.
Star already exists: StageName:Mark Harmon, Birthyear:1951.
Star already exists: StageName:Tess Harper, Birthyear: null.
Star already exists: StageName:Ed Harris, Birthyear: null.
Star already exists: StageName:Julie Harris, Birthyear:1925.
Star already exists: StageName:Richard Harris, Birthyear:1932.
Star already exists: StageName:John Hart, Birthyear: null.
Star already exists: StageName:Veronica Hart, Birthyear: null.
Star already exists: StageName:Mariette Hartley, Birthyear:1940.
Star already exists: StageName:Rutger Hauer, Birthyear:1944.
Star already exists: StageName:Wings Hauser, Birthyear: null.
Star already exists: StageName:Goldie Hawn, Birthyear:1945.
Star already exists: StageName:Robert Hays, Birthyear:1948.
Star already exists: StageName:John Heard, Birthyear:1946.
Star already exists: StageName:David Hedison, Birthyear:1926.
Star already exists: StageName:Tippi Hedren, Birthyear:1935.
Star already exists: StageName:Mariel Hemingway, Birthyear:1961.
Star already exists: StageName:David Hemmings, Birthyear:1941.
Star already exists: StageName:Lance Henriksen, Birthyear: null.
Star already exists: StageName:Gregg Henry, Birthyear: null.
Star already exists: StageName:Justin Henry, Birthyear:1971.
Star already exists: StageName:Bernard Hepton, Birthyear:1925.
Star already exists: StageName:Charlton Heston, Birthyear:1924.
Star already exists: StageName:Gregory Hines, Birthyear: null.
Star already exists: StageName:Pat Hingle, Birthyear:1923.
Star already exists: StageName:Judd Hirsch, Birthyear:1936.
Star already exists: StageName:Dustin Hoffman, Birthyear:1937.
Star already exists: StageName:Hulk Hogan, Birthyear: null.
Star already exists: StageName:Geoffrey Holder, Birthyear: null.
Star already exists: StageName:Ian Holm, Birthyear:1932.
Star already exists: StageName:Anthony Hopkins, Birthyear:1941.
Star already exists: StageName:Bo Hopkins, Birthyear:1942.
Star already exists: StageName:Dennis Hopper, Birthyear:1935.
Star already exists: StageName:Bob Hoskins, Birthyear:1942.
Star already exists: StageName:Whitney Houston, Birthyear:1960.
Star already exists: StageName:Dan Howard, Birthyear: null.
Star already exists: StageName:Clint Howard, Birthyear: null.
Star already exists: StageName:John Howard, Birthyear:1913.
Star already exists: StageName:Ron Howard, Birthyear:1953.
Star already exists: StageName:Trevor Howard, Birthyear:1916.
Star already exists: StageName:John Hoyt, Birthyear:1905.
Star already exists: StageName:Kelly Hu, Birthyear: null.
Star already exists: StageName:Brent Huff, Birthyear: null.
Star already exists: StageName:Wendy Hughes, Birthyear: null.
Star already exists: StageName:Helen Hunt, Birthyear:1963.
Star already exists: StageName:Holly Hunter, Birthyear:1958.
Star already exists: StageName:Isabelle Huppert, Birthyear:1955.
Star already exists: StageName:Elizabeth Hurley, Birthyear:1965.
Star already exists: StageName:John Hurt, Birthyear:1940.
Star already exists: StageName:William Hurt, Birthyear:1950.
Star already exists: StageName:Olivia Hussey, Birthyear:1951.
Star already exists: StageName:Anjelica Huston, Birthyear:1951.
Star already exists: StageName:Timothy Hutton, Birthyear:1960.
Star already exists: StageName:Jeremy Irons, Birthyear:1948.
Star already exists: StageName:Michael Ironside, Birthyear: null.
Star already exists: StageName:Kate Jackson, Birthyear:1950.
Star already exists: StageName:Samuel L. Jackson, Birthyear:1948.
Star already exists: StageName:Irene Jacob, Birthyear: null.
Star already exists: StageName:Derek Jacobi, Birthyear:1938.
Star already exists: StageName:Saeed Jaffrey, Birthyear: null.
Star already exists: StageName:Henry Jaglom, Birthyear: null.
Star already exists: StageName:Famke Janssen, Birthyear: null.
Star already exists: StageName:Michael Jayston, Birthyear:1936.
Star already exists: StageName:David Johansen, Birthyear: null.
Star already exists: StageName:Elton John, Birthyear:1947.
Star already exists: StageName:Michelle Johnson, Birthyear: null.
Star already exists: StageName:Stephen Johnson, Birthyear: null.
Star already exists: StageName:Freddie Jones, Birthyear:1927.
Star already exists: StageName:Jeffrey Jones, Birthyear: null.
Star already exists: StageName:Shirley Jones, Birthyear:1934.
Star already exists: StageName:Tommy Lee Jones, Birthyear:1946.
Star already exists: StageName:Robert Joy, Birthyear: null.
Star already exists: StageName:Ashley Judd, Birthyear:1970.
Star already exists: StageName:William Katt, Birthyear:1955.
Star already exists: StageName:Julie Kavner, Birthyear: null.
Star already exists: StageName:James Keach, Birthyear: null.
Star already exists: StageName:Stacy Keach, Birthyear:1941.
Star already exists: StageName:Diane Keaton, Birthyear:1949.
Star already exists: StageName:Michael Keaton, Birthyear:1952.
Star already exists: StageName:Harvey Keitel, Birthyear:1947.
Star already exists: StageName:David Keith, Birthyear: null.
Star already exists: StageName:Marthe Keller, Birthyear:1945.
Star already exists: StageName:Annette Kellerman, Birthyear:1888.
Star already exists: StageName:Nancy Kelly, Birthyear:1921.
Star already exists: StageName:Paul Kelly, Birthyear:1899.
Star already exists: StageName:Gary Kemp, Birthyear:1959.
Star already exists: StageName:George Kennedy, Birthyear:1925.
